GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed,geometry_Tract,ward,OBJECTID_PUD,PUD_NAME,PUD_WEB_URL,PUD_CHANGE_NARRATIVE,PUD_ZONING,PUD_STATUS,PUD_CASE_NUMBER,SHAPEAREA,SHAPELEN,GLOBALID,WARD,Name,Description,geometry_ft,Zone_Cat,CASE_ID_orig,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,TOTAL_AFFORDABLE_UNITS,MAR_WARD,Type,ANC,Total # Residential Units,% Affordable Units,Total # of 3 bedroom+ units (Fam sized units),Ownership (rental vs. condo or mix),Affordability notes (What levels of AMI% are avail),X,Y,OBJECTID_gr,LATITUDE,LONGITUDE,ADDRESS_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM,CASE_ID_update
110010001001,2016,1.1,"District of Columbia, District of Columbia",1431.0,0.0,377.0,53.29,2568.0,141792.0,1133500.0,22.1,85.67,1.47,10.76,0.0,2.1,0.0,0.0,0.0,7.0,2.0,0.53,1.86,1,0,0,"MULTIPOLYGON (((-77.068752 38.916966, -77.068145 38.918733, -77.059084 38.918313, -77.058894 38.918184, -77.05831999999999 38.917762, -77.05871 38.917163, -77.059071 38.915793, -77.058903 38.915474, -77.05564800000001 38.913352, -77.05534299999999 38.912957, -77.052514 38.911896, -77.05126 38.910753, -77.05256900000001 38.910603, -77.05714 38.910544, -77.064904 38.91036, -77.065139 38.910806, -77.067824 38.915804, -77.068752 38.916966)))",Ward 2,64136.0,"Cathedral Commons Partners, LLC",https://app.dcoz.dc.gov/Content/Search/ViewCaseReport.aspx?case_id=08-15A,Modification 9/26/16,C-2-A,Final,08-15A,0.0,0.0,{CBE9203F-D56A-4A05-A719-DF2B1A81BFBB},Ward 3,,,"POLYGON ((-77.06730252242228 38.91747830399233, -77.06734037927563 38.91752768275958, -77.06735276280011 38.91751385965296, -77.06736159962992 38.91750442564832, -77.06737181628493 38.91749391941874, -77.06738016773012 38.91748563425514, -77.06738922937973 38.91747693317194, -77.06740058903435 38.91746642177641, -77.06741489788082 38.91745376807285, -77.0674280874937 38.91744263967399, -77.06745073179289 38.91742463020519, -77.06746782094457 38.91741187805051, -77.0674822185496 38.91740165372251, -77.06749457614528 38.91739322998583, -77.06750726030607 38.91738490796595, -77.06751819235565 38.91737798606403, -77.06753255169984 38.91736923067336, -77.06755199022662 38.91735795901939, -77.06756995412033 38.91734810308643, -77.06758457755413 38.9173404566878, -77.06759838513686 38.9173335393083, -77.06764244986637 38.91731198276284, -77.06770720237036 38.91728030292267, -77.06776906692424 38.9172500333997, -77.06781680389903 38.91722667749548, -77.06786979219989 38.91720075227226, -77.06794077336724 38.91716602274077, -77.06803871713618 38.91711810052755, -77.06811864414442 38.91707899325755, -77.06818728033939 38.91704541237907, -77.06823444148104 38.91702233589758, -77.06826178297393 38.9170089600044, -77.06851702000948 38.91688767609972, -77.06838355739434 38.91672152628617, -77.06805110059955 38.91630763814903, -77.06780787529027 38.91642321236619, -77.06781495234901 38.91643230442624, -77.06762064790685 38.91653472864414, -77.06753754698208 38.91638318611945, -77.06708355906997 38.91662249396419, -77.06701204973186 38.91653063646098, -77.0665958430429 38.91672597243957, -77.06628571079705 38.9168733016276, -77.06627137409616 38.91688011274164, -77.06656662222817 38.91709032838447, -77.06676859768351 38.9172341303017, -77.06701313425879 38.9171180187046, -77.06730252242228 38.91747830399233))",Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110010001002,2016,1.2,"District of Columbia, District of Columbia",1367.0,0.0,548.0,53.75,1846.0,124808.0,796900.0,21.2,84.64,3.29,4.97,0.0,3.51,0.0,1.61,1.98,9.0,0.0,0.0,1.64,1,0,0,"MULTIPOLYGON (((-77.05126 38.910753, -77.050597 38.910004, -77.05037900000001 38.909874, -77.05042 38.909634, -77.050146 38.909635, -77.05279899999999 38.908859, -77.052959 38.908825, -77.05336200000001 38.908643, -77.053601 38.908496, -77.053944 38.907953, -77.05421699999999 38.907723, -77.054393 38.907487, -77.054619 38.907021, -77.054755 38.906643, -77.05514700000001 38.905843, -77.055491 38.905254, -77.057012 38.905232, -77.057073 38.907692, -77.05714 38.910544, -77.05256900000001 38.910603, -77.05126 38.910753)))",Ward 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110010001003,2016,1.3,"District of Columbia, District of Columbia",1209.0,0.0,195.0,28.04,3018.0,237604.0,1994200.0,10.8,78.49,0.0,10.67,0.99,8.52,0.0,1.32,0.0,1.0,1.0,0.51,0.51,1,0,0,"MULTIPOLYGON (((-77.063582 38.90786, -77.064904 38.91036, -77.05714 38.910544, -77.057073 38.907692, -77.06344799999999 38.907609, -77.063582 38.90786)))",Ward 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110010001004,2016,1.4,"District of Columbia, District of Columbia",1202.0,0.0,260.0,34.21,3200.0,240045.0,1594700.0,21.4,77.54,0.0,16.22,0.0,6.24,0.0,0.0,0.0,2.0,1.0,0.38,0.77,1,0,0,"MULTIPOLYGON (((-77.06465794452549 38.8918438452555, -77.06729900000001 38.899211, -77.06819900000001 38.899811, -77.06937119683259 38.9003662511312, -77.062752 38.902037, -77.062737 38.902064, -77.062749 38.902101, -77.062811 38.905177, -77.06286 38.90647, -77.06344799999999 38.907609, -77.057073 38.907692, -77.057012 38.905232, -77.055491 38.905254, -77.055719 38.904898, -77.05599599999999 38.904565, -77.055953 38.904549, -77.055916 38.904536, -77.056144 38.904195, -77.056583 38.903769, -77.056664 38.903287, -77.057385 38.902958, -77.05754 38.902888, -77.057787 38.902545, -77.058419 38.901726, -77.058538 38.901036, -77.057389 38.9001, -77.05743099999999 38.899666, -77.05662599999999 38.89839, -77.056702 38.895334, -77.055921 38.893, -77.05763399999999 38.892704, -77.060017 38.893083, -77.060818 38.896398, -77.061972 38.896596, -77.06151699999999 38.892058, -77.06465794452549 38.8918438452555)))",Ward 2,64206.0,"Four Points, LLC & Curtis Properties",https://app.dcoz.dc.gov/Content/Search/ViewCaseReport.aspx?case_id=08-07D,Second Stage PUD. 3/30/15,C-3-C,Final,08-07D,0.0,0.0,{0EB5479A-1921-4D2F-864C-5D6D22C5A9D9},Ward 8,,,"POLYGON ((-77.05667797634192 38.90513893852587, -77.05669788832901 38.90509131482177, -77.05672252568202 38.90504595509008, -77.05675163454137 38.90500332671068, -77.05678491497372 38.90496386892001, -77.05667780673718 38.90492549748653, -77.05661955001906 38.9049046274793, -77.05654018064618 38.90487619276279, -77.05652648608773 38.90487128645848, -77.05651281189768 38.90489117620046, -77.05645707360354 38.9049722462433, -77.05643645465625 38.90500223600748, -77.05638766380204 38.90507320204247, -77.0563877158813 38.9051390789822, -77.05643656435397 38.905139055395, -77.0564572056295 38.90513904542191, -77.05647074862885 38.90513903831343, -77.05651300466533 38.90513902238487, -77.05652669537766 38.90513901182032, -77.05654038536856 38.90513900012851, -77.05665131259234 38.90513895089542, -77.05667797634192 38.90513893852587))",Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110010002011,2016,2.01.1,"District of Columbia, District of Columbia",3685.0,0.0,1.0,0.0,,,,,65.51,7.41,9.06,0.0,13.43,0.0,4.34,0.24,1.0,0.0,0.0,100.0,1,0,0,"MULTIPOLYGON (((-77.078008 38.905969, -77.078124 38.905983, -77.078311 38.905987, -77.07830800000001 38.906249, -77.07834800000001 38.906266, -77.079598 38.906814, -77.079655 38.908656, -77.07909100000001 38.90989, -77.07903899999999 38.911804, -77.079016 38.912679, -77.078553 38.91269, -77.073097 38.912589, -77.07306 38.911524, -77.069208 38.911762, -77.06916200000001 38.910692, -77.069081 38.908718, -77.071642 38.908582, -77.07152600000001 38.905839, -77.078008 38.905969)))",Ward 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110010002021,2016,2.02.1,"District of Columbia, District of Columbia",1208.0,0.0,217.0,34.01,2158.0,192750.0,1330700.0,25.1,84.93,3.64,6.79,0.0,3.89,0.0,0.75,0.0,3.0,0.0,0.0,1.38,1,0,0,"MULTIPOLYGON (((-77.069382 38.917726, -77.068752 38.916966, -77.067824 38.915804, -77.065139 38.910806, -77.06916200000001 38.910692, -77.069208 38.911762, -77.07306 38.911524, -77.073097 38.912589, -77.072676 38.912594, -77.069245 38.912675, -77.06941 38.9166, -77.069446 38.917614, -77.069382 38.917726)))",Ward 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110010002022,2016,2.02.2,"District of Columbia, District of Columbia",752.0,4.5,139.0,19.94,1675.0,188846.0,1163500.0,22.8,97.74,0.0,0.0,0.0,1.46,0.0,0.8,0.0,1.0,0.0,0.0,0.72,1,0,0,"MULTIPOLYGON (((-77.063582 38.90786, -77.069042 38.907732, -77.069081 38.908718, -77.06916200000001 38.910692, -77.065139 38.910806, -77.064904 38.91036, -77.063582 38.90786)))",Ward 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110010002023,2016,2.02.3,"District of Columbia, District of Columbia",887.0,0.0,299.0,44.44,2455.0,109583.0,1419600.0,50.0,84.55,6.09,6.43,0.0,1.8,0.0,1.13,0.0,8.0,0.0,0.0,2.68,1,0,0,"MULTIPOLYGON (((-77.062811 38.905177, -77.06896 38.905052, -77.069042 38.907732, -77.063582 38.90786, -77.06344799999999 38.907609, -77.06286 38.90647, -77.062811 38.905177)))",Ward 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110010002024,2016,2.02.4,"District of Columbia, District of Columbia",1970.0,0.0,342.0,40.54,2369.0,101250.0,648200.0,50.0,67.56,13.2,7.36,0.41,6.45,0.0,5.03,0.0,2.0,0.0,0.0,0.58,1,0,0,"MULTIPOLYGON (((-77.07929739037989 38.9016231616772, -77.079866 38.905405, -77.078311 38.905785, -77.078029 38.905785, -77.078008 38.905969, -77.07152600000001 38.905839, -77.071642 38.908582, -77.069081 38.908718, -77.069042 38.907732, -77.06896 38.905052, -77.062811 38.905177, -77.062749 38.902101, -77.062737 38.902064, -77.062752 38.902037, -77.06937119683259 38.9003662511312, -77.070099 38.900711, -77.0783563148089 38.90152983958109, -77.07929739037989 38.9016231616772)))",Ward 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110010003001,2016,3.1,"District of Columbia, District of Columbia",1174.0,0.0,248.0,51.96,2273.0,127778.0,650300.0,26.0,93.27,0.0,5.37,0.0,1.36,0.0,0.0,0.0,2.0,0.0,0.0,0.81,1,0,0,"MULTIPOLYGON (((-77.069382 38.917726, -77.069446 38.917614, -77.06941 38.9166, -77.069245 38.912675, -77.072676 38.912594, -77.072856 38.916518, -77.07295000000001 38.918734, -77.073195 38.922544, -77.072907 38.922543, -77.07196999999999 38.920992, -77.07143499999999 38.920134, -77.069382 38.917726)))",Ward 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
