GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed,geometry_Tract,ward,OBJECTID,URL,DC_CODE,TYPE,NAME,GIS_ID,SHAPE_Length,SHAPE_Area,Name,Description,geometry_ft
110010001001,2016,1.1,"District of Columbia, District of Columbia",1431.0,0.0,377.0,53.29,2568.0,141792.0,1133500.0,22.1,85.67,1.47,10.76,0.0,2.1,0.0,0.0,0.0,7.0,2.0,0.53,1.86,1,0,0,"MULTIPOLYGON (((-77.068752 38.916966, -77.068145 38.918733, -77.059084 38.918313, -77.058894 38.918184, -77.05831999999999 38.917762, -77.05871 38.917163, -77.059071 38.915793, -77.058903 38.915474, -77.05564800000001 38.913352, -77.05534299999999 38.912957, -77.052514 38.911896, -77.05126 38.910753, -77.05256900000001 38.910603, -77.05714 38.910544, -77.064904 38.91036, -77.065139 38.910806, -77.067824 38.915804, -77.068752 38.916966)))",Ward 2,,,,,,,,,,,
110010001002,2016,1.2,"District of Columbia, District of Columbia",1367.0,0.0,548.0,53.75,1846.0,124808.0,796900.0,21.2,84.64,3.29,4.97,0.0,3.51,0.0,1.61,1.98,9.0,0.0,0.0,1.64,1,0,0,"MULTIPOLYGON (((-77.05126 38.910753, -77.050597 38.910004, -77.05037900000001 38.909874, -77.05042 38.909634, -77.050146 38.909635, -77.05279899999999 38.908859, -77.052959 38.908825, -77.05336200000001 38.908643, -77.053601 38.908496, -77.053944 38.907953, -77.05421699999999 38.907723, -77.054393 38.907487, -77.054619 38.907021, -77.054755 38.906643, -77.05514700000001 38.905843, -77.055491 38.905254, -77.057012 38.905232, -77.057073 38.907692, -77.05714 38.910544, -77.05256900000001 38.910603, -77.05126 38.910753)))",Ward 2,,,,,,,,,,,
110010001003,2016,1.3,"District of Columbia, District of Columbia",1209.0,0.0,195.0,28.04,3018.0,237604.0,1994200.0,10.8,78.49,0.0,10.67,0.99,8.52,0.0,1.32,0.0,1.0,1.0,0.51,0.51,1,0,0,"MULTIPOLYGON (((-77.063582 38.90786, -77.064904 38.91036, -77.05714 38.910544, -77.057073 38.907692, -77.06344799999999 38.907609, -77.063582 38.90786)))",Ward 2,,,,,,,,,,,
110010001004,2016,1.4,"District of Columbia, District of Columbia",1202.0,0.0,260.0,34.21,3200.0,240045.0,1594700.0,21.4,77.54,0.0,16.22,0.0,6.24,0.0,0.0,0.0,2.0,1.0,0.38,0.77,1,0,0,"MULTIPOLYGON (((-77.06465794452549 38.8918438452555, -77.06729900000001 38.899211, -77.06819900000001 38.899811, -77.06937119683259 38.9003662511312, -77.062752 38.902037, -77.062737 38.902064, -77.062749 38.902101, -77.062811 38.905177, -77.06286 38.90647, -77.06344799999999 38.907609, -77.057073 38.907692, -77.057012 38.905232, -77.055491 38.905254, -77.055719 38.904898, -77.05599599999999 38.904565, -77.055953 38.904549, -77.055916 38.904536, -77.056144 38.904195, -77.056583 38.903769, -77.056664 38.903287, -77.057385 38.902958, -77.05754 38.902888, -77.057787 38.902545, -77.058419 38.901726, -77.058538 38.901036, -77.057389 38.9001, -77.05743099999999 38.899666, -77.05662599999999 38.89839, -77.056702 38.895334, -77.055921 38.893, -77.05763399999999 38.892704, -77.060017 38.893083, -77.060818 38.896398, -77.061972 38.896596, -77.06151699999999 38.892058, -77.06465794452549 38.8918438452555)))",Ward 2,,,,,,,,,,,
110010002011,2016,2.01.1,"District of Columbia, District of Columbia",3685.0,0.0,1.0,0.0,,,,,65.51,7.41,9.06,0.0,13.43,0.0,4.34,0.24,1.0,0.0,0.0,100.0,1,0,0,"MULTIPOLYGON (((-77.078008 38.905969, -77.078124 38.905983, -77.078311 38.905987, -77.07830800000001 38.906249, -77.07834800000001 38.906266, -77.079598 38.906814, -77.079655 38.908656, -77.07909100000001 38.90989, -77.07903899999999 38.911804, -77.079016 38.912679, -77.078553 38.91269, -77.073097 38.912589, -77.07306 38.911524, -77.069208 38.911762, -77.06916200000001 38.910692, -77.069081 38.908718, -77.071642 38.908582, -77.07152600000001 38.905839, -77.078008 38.905969)))",Ward 2,,,,,,,,,,,
110010002021,2016,2.02.1,"District of Columbia, District of Columbia",1208.0,0.0,217.0,34.01,2158.0,192750.0,1330700.0,25.1,84.93,3.64,6.79,0.0,3.89,0.0,0.75,0.0,3.0,0.0,0.0,1.38,1,0,0,"MULTIPOLYGON (((-77.069382 38.917726, -77.068752 38.916966, -77.067824 38.915804, -77.065139 38.910806, -77.06916200000001 38.910692, -77.069208 38.911762, -77.07306 38.911524, -77.073097 38.912589, -77.072676 38.912594, -77.069245 38.912675, -77.06941 38.9166, -77.069446 38.917614, -77.069382 38.917726)))",Ward 2,,,,,,,,,,,
110010002022,2016,2.02.2,"District of Columbia, District of Columbia",752.0,4.5,139.0,19.94,1675.0,188846.0,1163500.0,22.8,97.74,0.0,0.0,0.0,1.46,0.0,0.8,0.0,1.0,0.0,0.0,0.72,1,0,0,"MULTIPOLYGON (((-77.063582 38.90786, -77.069042 38.907732, -77.069081 38.908718, -77.06916200000001 38.910692, -77.065139 38.910806, -77.064904 38.91036, -77.063582 38.90786)))",Ward 2,,,,,,,,,,,
110010002023,2016,2.02.3,"District of Columbia, District of Columbia",887.0,0.0,299.0,44.44,2455.0,109583.0,1419600.0,50.0,84.55,6.09,6.43,0.0,1.8,0.0,1.13,0.0,8.0,0.0,0.0,2.68,1,0,0,"MULTIPOLYGON (((-77.062811 38.905177, -77.06896 38.905052, -77.069042 38.907732, -77.063582 38.90786, -77.06344799999999 38.907609, -77.06286 38.90647, -77.062811 38.905177)))",Ward 2,,,,,,,,,,,
110010002024,2016,2.02.4,"District of Columbia, District of Columbia",1970.0,0.0,342.0,40.54,2369.0,101250.0,648200.0,50.0,67.56,13.2,7.36,0.41,6.45,0.0,5.03,0.0,2.0,0.0,0.0,0.58,1,0,0,"MULTIPOLYGON (((-77.07929739037989 38.9016231616772, -77.079866 38.905405, -77.078311 38.905785, -77.078029 38.905785, -77.078008 38.905969, -77.07152600000001 38.905839, -77.071642 38.908582, -77.069081 38.908718, -77.069042 38.907732, -77.06896 38.905052, -77.062811 38.905177, -77.062749 38.902101, -77.062737 38.902064, -77.062752 38.902037, -77.06937119683259 38.9003662511312, -77.070099 38.900711, -77.0783563148089 38.90152983958109, -77.07929739037989 38.9016231616772)))",Ward 2,,,,,,,,,,,
110010003001,2016,3.1,"District of Columbia, District of Columbia",1174.0,0.0,248.0,51.96,2273.0,127778.0,650300.0,26.0,93.27,0.0,5.37,0.0,1.36,0.0,0.0,0.0,2.0,0.0,0.0,0.81,1,0,0,"MULTIPOLYGON (((-77.069382 38.917726, -77.069446 38.917614, -77.06941 38.9166, -77.069245 38.912675, -77.072676 38.912594, -77.072856 38.916518, -77.07295000000001 38.918734, -77.073195 38.922544, -77.072907 38.922543, -77.07196999999999 38.920992, -77.07143499999999 38.920134, -77.069382 38.917726)))",Ward 2,,,,,,,,,,,
110010003002,2016,3.2,"District of Columbia, District of Columbia",1486.0,0.0,823.0,81.01,1595.0,83720.0,260700.0,24.6,72.41,0.0,14.8,0.0,5.99,0.0,6.8,0.0,13.0,2.0,0.24,1.58,1,0,0,"MULTIPOLYGON (((-77.08200600000001 38.921524, -77.07790900000001 38.922549, -77.077915 38.919174, -77.08125099999999 38.91927, -77.08200600000001 38.921524)))",Ward 3,,,,,,,,,,,
110010003003,2016,3.3,"District of Columbia, District of Columbia",1593.0,0.0,292.0,37.98,2106.0,135547.0,916100.0,36.1,61.52,13.87,6.65,0.0,15.13,0.0,2.82,0.0,1.0,0.0,0.0,0.34,1,0,0,"MULTIPOLYGON (((-77.082035 38.919318, -77.08214700000001 38.919411, -77.082272 38.921493, -77.08200600000001 38.921524, -77.08125099999999 38.91927, -77.077915 38.919174, -77.074611 38.919169, -77.07295000000001 38.918734, -77.072856 38.916518, -77.072676 38.912594, -77.073097 38.912589, -77.078553 38.91269, -77.079016 38.912679, -77.07884199999999 38.913111, -77.078357 38.914326, -77.080696 38.915372, -77.08186499999999 38.917617, -77.081873 38.91772, -77.082035 38.919318)))",Ward 2,,,,,,,,,,,
110010003004,2016,3.4,"District of Columbia, District of Columbia",1842.0,0.0,242.0,24.92,2204.0,186591.0,798700.0,24.8,90.5,7.71,1.36,0.0,0.0,0.0,0.43,0.0,2.0,0.0,0.0,0.83,1,0,0,"MULTIPOLYGON (((-77.07705199999999 38.922549, -77.074697 38.922548, -77.073195 38.922544, -77.07295000000001 38.918734, -77.074611 38.919169, -77.077915 38.919174, -77.07790900000001 38.922549, -77.07705199999999 38.922549)))",Ward 3,,,,,,,,,,,
110010004001,2016,4.1,"District of Columbia, District of Columbia",529.0,0.0,49.0,6.6,,250001.0,1362100.0,,75.05,6.99,6.81,0.0,10.02,0.0,1.13,0.0,1.0,0.0,0.0,2.04,1,0,0,"MULTIPOLYGON (((-77.06639 38.931467, -77.06639699999999 38.929964, -77.066384 38.927527, -77.06635300000001 38.924323, -77.06949299999999 38.923575, -77.070122 38.923004, -77.070459 38.922551, -77.072907 38.922543, -77.073195 38.922544, -77.073216 38.922739, -77.073123 38.922914, -77.073168 38.923079, -77.073185 38.92362, -77.073188 38.926182, -77.073162 38.928611, -77.07265 38.931871, -77.06720900000001 38.931564, -77.06639 38.931467)))",Ward 3,,,,,,,,,,,
110010004002,2016,4.2,"District of Columbia, District of Columbia",1049.0,5.04,188.0,48.79,2244.0,110234.0,2000001.0,35.4,61.58,3.91,20.78,0.0,7.34,0.0,6.39,0.0,15.0,1.0,0.53,7.98,1,0,0,"MULTIPOLYGON (((-77.066384 38.927527, -77.06323999999999 38.92752, -77.05771799999999 38.923213, -77.056079 38.923284, -77.05573099999999 38.922522, -77.05403800000001 38.921182, -77.055745 38.92011, -77.056954 38.920257, -77.056532 38.919523, -77.05765700000001 38.919256, -77.059084 38.918313, -77.068145 38.918733, -77.068752 38.916966, -77.069382 38.917726, -77.07143499999999 38.920134, -77.07196999999999 38.920992, -77.072907 38.922543, -77.070459 38.922551, -77.070122 38.923004, -77.06949299999999 38.923575, -77.06635300000001 38.924323, -77.066384 38.927527)))",Ward 3,,,,,,,,,,,
110010005011,2016,5.01.1,"District of Columbia, District of Columbia",1835.0,6.07,739.0,73.51,1764.0,104741.0,945500.0,29.5,65.23,5.29,17.06,2.67,5.83,0.0,3.92,0.0,16.0,0.0,0.0,2.17,1,0,0,"MULTIPOLYGON (((-77.050526 38.933317, -77.05105399999999 38.933143, -77.050687 38.932309, -77.047179 38.931441, -77.044534 38.928123, -77.044561 38.927927, -77.044591 38.927867, -77.044687 38.927623, -77.04469899999999 38.927454, -77.046055 38.926054, -77.04866800000001 38.927923, -77.049064 38.928151, -77.049483 38.928189, -77.04985499999999 38.927984, -77.049964 38.927699, -77.049415 38.925266, -77.048665 38.923351, -77.05021600000001 38.921301, -77.05268 38.925536, -77.054164 38.928088, -77.055716 38.930755, -77.052959 38.933542, -77.05152200000001 38.933966, -77.051091 38.933941, -77.050833 38.933723, -77.050763 38.933432, -77.050526 38.933317)))",Ward 3,,,,,,,,,,,
110010005012,2016,5.01.2,"District of Columbia, District of Columbia",1667.0,6.75,1083.0,84.56,1878.0,108875.0,1025900.0,24.6,78.22,2.4,11.82,2.28,2.52,0.0,2.76,0.0,22.0,6.0,0.55,2.03,1,0,0,"MULTIPOLYGON (((-77.05268 38.925536, -77.05021600000001 38.921301, -77.05109400000001 38.919934, -77.054652 38.919939, -77.05831999999999 38.917762, -77.058894 38.918184, -77.059084 38.918313, -77.05765700000001 38.919256, -77.056532 38.919523, -77.056954 38.920257, -77.055745 38.92011, -77.05403800000001 38.921182, -77.05573099999999 38.922522, -77.056079 38.923284, -77.05771799999999 38.923213, -77.057637 38.926173, -77.05268 38.925536)))",Ward 3,,,,,,,,,,,
110010005021,2016,5.02.1,"District of Columbia, District of Columbia",1547.0,0.0,500.0,45.79,1699.0,132614.0,1207700.0,22.6,77.76,1.94,12.02,0.0,6.98,0.0,1.29,0.0,8.0,0.0,0.0,1.6,1,0,0,"MULTIPOLYGON (((-77.066384 38.927527, -77.06639699999999 38.929964, -77.06639 38.931467, -77.064769 38.931094, -77.063254 38.930509, -77.06325699999999 38.929013, -77.05812299999999 38.92901, -77.054164 38.928088, -77.05268 38.925536, -77.057637 38.926173, -77.05771799999999 38.923213, -77.06323999999999 38.92752, -77.066384 38.927527)))",Ward 3,,,,,,,,,,,
110010005022,2016,5.02.2,"District of Columbia, District of Columbia",1426.0,0.0,444.0,54.8,1732.0,109444.0,582900.0,24.0,80.15,4.35,8.56,0.0,3.37,0.0,2.31,1.26,4.0,0.0,0.0,0.9,1,0,0,"MULTIPOLYGON (((-77.05677 38.93257, -77.055716 38.930755, -77.054164 38.928088, -77.05812299999999 38.92901, -77.06325699999999 38.929013, -77.063254 38.930509, -77.060119 38.930314, -77.057875 38.932715, -77.05677 38.93257)))",Ward 3,,,,,,,,,,,
110010006001,2016,6.1,"District of Columbia, District of Columbia",1220.0,0.0,284.0,25.24,1973.0,155833.0,586100.0,21.6,68.2,12.7,17.95,0.0,1.15,0.0,0.0,0.0,13.0,1.0,0.35,4.58,1,0,0,"MULTIPOLYGON (((-77.067852 38.940876, -77.061654 38.940972, -77.06151699999999 38.940735, -77.059243 38.936824, -77.06014500000001 38.936876, -77.06106800000001 38.937156, -77.06638700000001 38.937335, -77.066799 38.939083, -77.06744399999999 38.939899, -77.067852 38.940876)))",Ward 3,,,,,,,,,,,
