CASE_ID,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,TOTAL_AFFORDABLE_UNITS,MAR_WARD,Type,ANC,Total # Residential Units,Total # Affordable Units,Total # of 3 bedroom+ units (Fam sized units),Ownership (rental vs. condo or mix),Affordability notes (What levels of AMI% are avail),X,Y,OBJECTID,LATITUDE,LONGITUDE,ADDRESS_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
12-16,"5929 East Capitol Street Southeast, Washington, District of Columbia 20019",Capitol Gateway Marketplace,Pipeline,DCHA DCHFA DHCD OP,16,16,280,0,0,312,Ward 7,PUD,7C05,288,10% of total,only 1 & 2 bdrm units,0.6,0,-76.91494584,38.88929034,86,38.88928255,-76.91494358,,407379.23,135719.0175,,2019-02-11T04:00:24.000Z
06-08,"Commodore Joshua Barney Dr NE, Washington, District of Columbia 20018",Fort Lincoln Multifamily,Under Construction,DMPED OP,0,18,19,18,0,55,Ward 5,  ,  ,  ,  ,  ,  ,  ,-76.95618027,38.9284788,123,38.928471,-76.956178,,403799.7723,140066.7309,,2019-02-11T04:00:24.000Z
06-40C,"340 Florida Avenue Northeast, Washington, District of Columbia 20002",The Edison at Union Market,Completed 2015 to Date,DMPED OP,0,0,0,38,0,38,Ward 5,  ,  ,  ,  ,  ,  ,  ,-77.00054935,38.9074857,127,38.907564,-77.00065072,287853,399952.55,137735.41,340 FLORIDA AVENUE NE,2019-02-11T04:00:24.000Z
08-34,"300 MASSACHUSETTS AVENUE NW, Washington, District of Columbia 20001",Capitol Crossing,Under Construction,DMPED OP,0,0,0,50,0,50,Ward 2,  ,  ,  ,  ,  ,  ,  ,-77.0156681,38.89964972,147,38.89964227,-77.01566581,279643,398641.08,136865.67,300 MASSACHUSETTS AVENUE NW,2019-02-11T04:00:24.000Z
15-20,"45 K St NW, Washington, District of Columbia 20001",Northwest One - North Capitol and K Streets NW,Pipeline,DMPED OP,211,75,93,8,0,387,Ward 6,PUD,6e06,1131( 6 buildings),199,14units with more than 3 bdrms,0,60-80%,-77.01071479,38.9033692,189,38.90336175,-77.0107125,290893,399070.8,137278.5,45 K STREET NW,2019-02-11T04:00:24.000Z
16-12,"617 Morton Street Northwest, Washington, District of Columbia 20010",Park Morton - Onsite,Pipeline,DMPED OP,147,0,172,0,87,406,Ward 1,PUD,1A09,"189 new residential units, comprised of 142 apartment units, six flats, and 41 townhomes. Over half (53%) of the residential units will be income-restricted housing for low- or moderate-income households as follows: 57 units will be public housing replacement units, 44-59 units will be workforce affordable units, and 73-88 units will be market rate.",0,0,0,0,-77.02213574,38.93234677,194,38.93233931,-77.02213344,285318,398080.93,140495.43,617 MORTON STREET NW,2019-02-11T04:00:24.000Z
14-08,"1441 U St NW, Washington, District of Columbia 20009",Portner Place,Completed 2015 to Date,DHCD OP,0,48,0,0,0,48,Ward 1,PUD,1B12,366,96,43134,rent,0.6,-77.03350531,38.91721684,207,38.91723137,-77.03378715,279189,397094.52,138816.18,1441 U STREET NW,2019-02-11T04:00:24.000Z
07-13G,"820 Half Street Southwest, Washington, District of Columbia 20024",Randall School,Pipeline,DMPED OP,0,0,104,99,0,203,Ward 6,  ,  ,  ,  ,  ,  ,  ,-77.01140403,38.87987518,210,38.8798674,-77.01140174,,399010.6899,134670.4873,,2019-02-11T04:00:24.000Z
15-34,"2251 Sherman Avenue Northwest, Washington, District of Columbia 20001",The Wren,Under Construction,DMPED OP,32,94,0,0,0,126,Ward 1,PUD,1B11,428,0.3,N/A,rental,0.5,-77.02464967,38.92031827,223,38.92031081,-77.02464738,284325,397862.6,139160.22,2251 SHERMAN AVENUE NW,2019-02-11T04:00:24.000Z
09-03,"Good Hope Rd SE, Washington, District of Columbia 20020",Skyland Town Center,Under Construction,DMPED OP,0,0,0,95,48,143,Ward 7,  ,  ,  ,  ,  ,  ,  ,-76.96819702,38.85891434,227,38.85890656,-76.96819474,,402760.5,132344.097,,2019-02-11T04:00:24.000Z
